x,z,th,vx,vz,vth
-0.297849890357028,0.15841373121580005,-2.514288272521959,-0.5778813201811756,-1.8826090759000038,-1.0884674224344915
-0.30016058982238003,0.15064534194400003,-2.5195509003379817,-0.5797092425599976,-1.9835123017499927,-1.5091375792721795
-0.30247951159283004,0.14254545823999998,-2.5227641936475127,-0.5797304426125027,-2.0249709260000137,-0.8033233273827545
-0.30480635231616704,0.13434924220599997,-2.528182933724432,-0.5817101808342495,-2.0490540085000006,-1.354685019229862
-0.30707649800887005,0.125936059502,-2.5309676817763576,-0.5675364231757518,-2.103295675999997,-0.696187012981353
-0.30943713194307004,0.11745247485299999,-2.5361047644387336,-0.590158483549999,-2.120896162249999,-1.2842706655940006
-0.31175683903666,0.108791005432,-2.54010542121235,-0.5799267733974933,-2.1653673552499972,-1.0001641934040961
-0.31402199041781004,0.09991593255400001,-2.5434929713457075,-0.5662878452875053,-2.2187682194999976,-0.846887533339391
-0.31637662500880004,0.090984193527,-2.5481414063139702,-0.5886586477475003,-2.232934756750002,-1.1621087420656817
-0.31866910861990005,0.081840450927,-2.5515822736156264,-0.5731209027750039,-2.285935650000001,-0.8602168254140397
-0.32102267109320004,0.07262075230300001,-2.5552634146162267,-0.5883906183249965,-2.304924655999997,-0.920285250150088
-0.3233334462583001,0.06318837410899998,-2.5596138720043067,-0.577693791275008,-2.3580945485000075,-1.0876143470199828
-0.32564167996390003,0.05361408584600001,-2.5639040708983822,-0.57705842639999,-2.3935720657499924,-1.0725497235188897
-0.32790694525340003,0.04383685109999999,-2.5663075584404216,-0.566316322374999,-2.444308686500005,-0.600871885509835
-0.33132568494580006,0.050550800986,-2.771550637445975,-0.8546849231000075,1.6784874715000015,-51.31076975138838
-0.33224810981760006,0.054321320070999976,-2.8482527193355303,-0.23060621794999958,0.9426297712499948,-19.175520472388797
-0.33316334198220005,0.05789414590399998,-2.9250236945959203,-0.2288080411499971,0.893206458250001,-19.1927438150975
-0.3340865161759,0.06135682143799999,-3.001892228179896,-0.2307935484249929,0.8656688835000024,-19.217133395993958
-0.335027926895,0.06464621692599999,-3.0787451987419483,-0.2353526797749944,0.8223488720000005,-19.21324264051305
-0.3359570344569,0.067799180784,-3.1560951670154243,-0.23227689047500277,0.7882409645000032,-19.337492068368988
-0.33688606166630003,0.070758784197,-3.232064994418667,-0.232256802350006,0.7399008532500001,-18.992456850810633
-0.3378103531862,0.073532881733,-3.3078327175450086,-0.23107287997499448,0.6935243839999994,-18.94193078158546
-0.3387425592655,0.07621220722199999,-3.384505771261076,-0.2330515198250005,0.6698313722499973,-19.168263429016896
-0.33966290160920004,0.078657064629,-3.461172905816283,-0.23008558592500783,0.6112143517500029,-19.166783638801643
-0.34060560733780004,0.08091172157799999,-3.536739549653906,-0.23567643215000045,0.5636642372499958,-18.891660959405755
-0.34153529864020005,0.08305011550999998,-3.6131418142335825,-0.23242282560000105,0.5345984829999983,-19.100566144919174
-0.34245752377430005,0.08503965613900001,-3.689098916053337,-0.2305562835250019,0.49738515725000765,-18.98927545493867
-0.3433598894045001,0.08687004042700001,-3.7649196495380988,-0.22559140755000484,0.4575960720000008,-18.955183371190397
-0.34430584862970004,0.08860591720099999,-3.8403606208323726,-0.2364898062999915,0.43396919349999313,-18.860242823568463
-0.3452408918495,0.09018725606399998,-3.915807315315047,-0.23376080494999507,0.3953347157499981,-18.861673620668597
-0.34614452322750006,0.09150991270299998,-3.9907911790264756,-0.225907844500009,0.3306641597499993,-18.745965927857156
