x,z,th,vx,vz,vth
-0.26203478151169995,0.14472615313999998,-0.18043391171226997,-0.37968716927500035,-1.84714479775,-4.059796990899867
-0.26355638376769996,0.13721255837000002,-0.19420351012321158,-0.38040056400000244,-1.8783986924999914,-3.442399602735402
-0.26507667730049994,0.129532480387,-0.2106675315195532,-0.3800733831999942,-1.9200194957500054,-4.116005349085405
-0.266542696661,0.12169172682700001,-0.22539519181218726,-0.36650484012501483,-1.9601883899999957,-3.681915073158515
-0.26808078079349995,0.113824771955,-0.23977925335799233,-0.38452103312498764,-1.9667387180000024,-3.596015386451268
-0.2695823704243,0.10576462596000001,-0.2539018594848015,-0.3753974077000122,-2.0150364987499976,-3.530651531702289
-0.2710988155823,0.09753604832400002,-0.27182316459818257,-0.37911128949999484,-2.0571444089999975,-4.48032627834527
-0.2725962841653,0.08918439083399997,-0.28704186215572314,-0.37436714575000973,-2.087914372500013,-3.804674389385143
-0.2740936124126,0.08065651063599998,-0.3025700536435698,-0.37433206182499457,-2.1319700494999982,-3.882047871961669
-0.2755979735886,0.07202647036799999,-0.31757631237394035,-0.3760902940000005,-2.1575100669999974,-3.751564682592634
-0.27706306522619994,0.06318875066200001,-0.33317250154480904,-0.3662729093999867,-2.2094299264999937,-3.8990472927171727
-0.2785367685897,0.054245928624,-0.344798235457604,-0.36842584087501407,-2.2357055095000025,-2.9064334781987444
-0.2800139944228,0.045150469246,-0.35953347344473396,-0.3693064582750011,-2.2738648445000016,-3.6838094967824864
-0.28169802079519995,0.038016618857000015,-0.3130607899042719,-0.42100659309998734,-1.7834625972499956,11.61817088511552
-0.2864895567148,0.038428494181,0.20956845446650174,-1.1978839799000052,0.1029688309999964,130.65731109269342
-0.2891730822495,0.040925793571,0.3361184490094633,-0.6708813836750066,0.6243248474999997,31.637498635740393
-0.29203295799209994,0.04457725670399999,0.39633508081449165,-0.7149689356499844,0.9128657832499985,15.054157951257086
-0.29484611558407,0.04805580085099999,0.45562724570996416,-0.7032893979925098,0.8696360367499989,14.823041223868128
-0.29768323161585,0.05140977530899997,0.5159864768101734,-0.709279007944999,0.8384936144999953,15.08980777505231
-0.30051842204711,0.054588063815999996,0.5754661737640738,-0.7087976078150038,0.7945721267500067,14.869924238475107
-0.3033597356275219,0.05756767922999999,0.6344397471824532,-0.7103283951029743,0.744903853499998,14.743393354594847
-0.30614965193670995,0.06035298307999999,0.6929740975622414,-0.6974790772970169,0.6963259625000009,14.63358759494704
-0.30894929039272,0.062988497717,0.7519801092484144,-0.6999096140025141,0.6588786592500034,14.751502921543258
-0.31175241021245,0.065460041758,0.8111159470476617,-0.7007799549324928,0.6178860102500003,14.783959449811812
-0.3145285591979,0.06771055248700002,0.8698485957943918,-0.6940372463625083,0.5626276822500026,14.68316218668253
-0.31730830427949996,0.069922600347,0.9286302450053583,-0.6949362703999873,0.5530119649999956,14.695412302741628
-0.3200950481343,0.07194678822799998,0.9871842427381061,-0.6966859637000111,0.5060469702499946,14.638499433186958
-0.3228600494096,0.073807883453,1.0452660263770772,-0.6912503188249985,0.4652738062500064,14.520445909742774
-0.3255845944856,0.07543816070299998,1.104869056691821,-0.6811362690000017,0.4075693124999946,14.90075757868592
-0.32840323305089997,0.07708524098599999,1.163429282659025,-0.7046596413249895,0.4117700707500019,14.640056491801001
-0.3311446531596,0.078424703493,1.2216604324527651,-0.6853550271750108,0.33486562675000275,14.557787448435056
-0.3338836809207,0.079661741621,1.2795800749095037,-0.6847569402749915,0.30925953199999884,14.479910614184632
-0.3366450161882,0.080601735291,1.3356140473543814,-0.6903338168749995,0.2349984175,14.008493111219433
-0.33935825169010003,0.08159526946799998,1.3953656542738466,-0.6783088754750144,0.2483835442499971,14.93790172986631
-0.34206252516429997,0.08234654152700001,1.4558178830841157,-0.6760683685499841,0.1878180147500061,15.113057202567282
-0.34478406845169995,0.08291289885999999,1.5137066431420312,-0.6803858218499964,0.14158933324999456,14.472190014478858
-0.3475088206972,0.08335603107799998,1.5715385659398233,-0.6811880613750154,0.11078305449999798,14.457980699448036
-0.3501433727849,0.08354492183399999,1.628165703165438,-0.6586380219249927,0.04722268900000243,14.156784306403658
